,sunb_name,contents_origin,ingd_code
53,헵타미놀염산염(Heptaminol Hydrochloride),,I004716
54,노회(Aloe),,I004112
55,대두레시틴(Soya Lecithin),,I005130
56,리보플라빈(Riboflavin),,I003529
57,산화아연(Zinc Oxide),,I005885
58,아스코르브산(Ascorbic Acid),,I004351
59,에르고칼시페롤(Ergocalciferol),,I001260
60,인산수소칼슘수화물(Dibasic Calcium Phosphate Hydrate),,I000249
61,푸마르산철(Ferrous Fumarate),"물 또는 주스 한 컵과 함께 공복시 복용하세요. 
위장장애를 줄이기 위해 식후 복용할 수 있지만 음식과 함께 복용하면 이 약의 흡수를 50% 정도 감소시킵니다.",I001471
62,푸마르산철(Ferrous Fumarate),"액상형태의 경우, 치아 색소침착을 예방하기 위해 스트로(빨대)를 이용하여 복용하는 것이 좋습니다. ",I001471
63,푸마르산철(Ferrous Fumarate),30 mg의 철분을 복용할 때 200 mg 정도의 비타민 C와 함께 복용하시면 철분의 흡수가 잘됩니다.,I001471
64,푸마르산철(Ferrous Fumarate),육류/어류/가금류는 철분제의 흡수를 높여줍니다.,I001471
65,푸마르산철(Ferrous Fumarate),"탄산염 제산제, 칼슘, 인, 아연, 구리 보충제와는 2시간 이상 간격을 두고 복용하세요.",I001471
66,푸마르산철(Ferrous Fumarate),음주를 삼가세요.,I001471
67,피리독신염산염(Pyridoxine Hydrochloride),,I003412
68,글루콘산제이철나트륨착염(Sodium Ferric Gluconate complex),,I003781
69,산화마그네슘(Magnesium Oxide),,I001985
70,피돌산마그네슘(Magnesium Pidolate),,I001988
71,히드록소코발라민아세트산염(Hydroxocobalamin Acetate),,I004819
72,L-시스테인(L-Cysteine),,I000738
73,폴리사카리드철착염(Polysaccharide Iron Complex),,I003173
74,수크로오스수산화제이철착염(Ferric Hydroxide Sucrose Complex),,I005002
75,콘드로이틴설페이트철(Chondroitin Sulfate-Iron complex),,I004646
76,오로트산수화물(Orotic Acid Hydrate),,I002712
77,토코페롤아세테이트(Tocopherol Acetate),,I001069
78,판토텐산칼슘(Calcium Pantothenate),,I000259
79,시아노코발라민(Cyanocobalamin),,I000703
80,폴산(Folic Acid),,I001587
81,배농산급탕,,IB00091
82,글루콘산제일철수화물(Ferrous Gluconate Hydrate),"물 또는 주스 한 컵과 함께 공복시 복용하세요. 
위장장애를 줄이기 위해 식후 복용할 수 있지만 음식과 함께 복용하면 이 약의 흡수를 50% 정도 감소시킵니다.",I001473
83,글루콘산제일철수화물(Ferrous Gluconate Hydrate),"액상형태의 경우, 치아 색소침착을 예방하기 위해 스트로(빨대)를 이용하여 복용하는 것이 좋습니다. ",I001473
84,글루콘산제일철수화물(Ferrous Gluconate Hydrate),30 mg의 철분을 복용할 때 200 mg 정도의 비타민 C와 함께 복용하시면 철분의 흡수가 잘됩니다.,I001473
85,글루콘산제일철수화물(Ferrous Gluconate Hydrate),육류/어류/가금류는 철분제의 흡수를 높여줍니다.,I001473
86,글루콘산제일철수화물(Ferrous Gluconate Hydrate),"탄산염 제산제, 칼슘, 인, 아연, 구리 보충제와는 2시간 이상 간격을 두고 복용하세요.",I001473
87,글루콘산제일철수화물(Ferrous Gluconate Hydrate),음주를 삼가세요.,I001473
88,니코틴산아미드(Nicotinamide),,I002541
89,오로트산수화물(Orotic Acid Monohydrate),,I007671
90,페리틴(Ferritin),,I001466
91,방풍통성산,,IB00089
92,세인트존스워트(St. John's wort),,I004850
93,폴리말토오스수산화제이철착염(Ferric Hydroxide Polymaltose complex),,I007775
94,건조황산제일철(Dried Ferrous Sulfate),"물 또는 주스 한 컵과 함께 공복시 복용하세요. 
위장장애를 줄이기 위해 식후 복용할 수 있지만 음식과 함께 복용하면 이 약의 흡수를 50% 정도 감소시킵니다.",I001118
95,건조황산제일철(Dried Ferrous Sulfate),"액상형태의 경우, 치아 색소침착을 예방하기 위해 스트로(빨대)를 이용하여 복용하는 것이 좋습니다. ",I001118
96,건조황산제일철(Dried Ferrous Sulfate),30 mg의 철분을 복용할 때 200 mg 정도의 비타민 C와 함께 복용하시면 철분의 흡수가 잘됩니다.,I001118
97,건조황산제일철(Dried Ferrous Sulfate),육류/어류/가금류는 철분제의 흡수를 높여줍니다.,I001118
98,건조황산제일철(Dried Ferrous Sulfate),"탄산염 제산제, 칼슘, 인, 아연, 구리 보충제와는 2시간 이상 간격을 두고 복용하세요.",I001118
99,건조황산제일철(Dried Ferrous Sulfate),음주를 삼가세요.,I001118
100,트리메타지딘염산염(Trimetazidine Hydrochloride),,I005643
101,비오틴(D-Biotin),,I000032
102,셀레늄함유건조효모(Selenium in Dried Yeast),,I012318
103,인산수소칼슘(Anhydrous Dibasic Calcium Phosphate),,I006055
104,티아민질산염(Thiamine Nitrate),,I006606
105,황산망간수화물(Manganese Sulfate Hydrate),,I002011
106,황산아연수화물(Zinc Sulfate Hydrate),,I005889
107,DL-세린(DL-Serine),,I007322
108,철만니톨난단백(Ferri Manitol Ovalbumin),,I009708
109,카르보닐철(Carbonyl Iron),,I007443
110,폴리네이트칼슘(Calcium Folinate),,I000243
111,호박산단백철(Iron Protein-Succinylate Complex),,I005001
112,레드클로버(Red Clover),,I003495
113,테트라히드로졸린염산염(Tetrahydrozoline Hydrochloride),,I005393
114,디아스타제·프로테아제·셀룰라제(Diastase·protease·cellulase),,I007344
115,리파제(Lipase),,I006974
116,셀룰라제(Cellulase),,I000451
117,시메티콘(Simethicone),식사 후 복용하세요.,I003719
118,시메티콘(Simethicone),탄산음료 섭취를 최대한 줄이거나 피하세요. 탄산음료는 가스를 생성하여 복부팽만을 악화시킬 수 있어요.,I003719
119,우르소데옥시콜산(Ursodeoxycholic Acid),,I005733
120,판크레아틴(Pancreatin),,I002802
121,프로자임(Prozyme),,I007470
122,당약(Swertia Herb),,I006599
123,수용성아줄렌(Soluble Azulene),,I006910
124,혈액응고제Ⅷ인자항체우회활성복합체(Factor Ⅷ Inhibitor Bypassing Activity Complex),,I001396
125,툴로부테롤(Tulobuterol),,I007588
126,부프레노르핀(Buprenorphine),,I005949
127,티옥트산(Thioctic Acid),,I005425
128,니코틴(Nicotine),,I002542
129,히드로코르티손(Hydrocortisone),,I004795
130,도네페질(Donepezil),,I012802
131,펜타닐(Fentanyl),,I006008
132,리바스티그민(Rivastigmine),식사와 함께 복용하면 위장장애를 줄일 수 있어요.,I003559
133,탄산수소나트륨(Sodium Bicarbonate),공복(식사 1시간 이전 또는 식사 2시간 이후)에 복용하세요.,I003757
134,탄산수소나트륨(Sodium Bicarbonate),"음주와 흡연을 삼가세요. 알코올과 니코틴은 위벽을 자극하여 위궤양, 가슴쓰림, 위산역류 등을 유발할 수 있어요.",I003757
135,탄산수소나트륨(Sodium Bicarbonate),{{카페인}} 복용시 주의하세요. 카페인은 하부식도괄약근을 느슨하게 하여 위산역류 등을 유발할 수 있어요.,I003757
136,탄산수소나트륨(Sodium Bicarbonate),"마늘, 양파 등 자극성이 강한 식품은 위장장애를 유발하여 약효를 상쇄시킬 수 있으니 섭취에 주의하세요.",I003757
137,탄산수소나트륨(Sodium Bicarbonate),철분 보충제를 복용시 이 약과 최소 2시간의 시간 간격을 두고 복용하세요.,I003757
138,무수포도당(Glucose Anhydrous),,I001722
139,아세트산나트륨수화물(Sodium Acetate Hydrate),,I003741
140,염화나트륨(Sodium Chloride),,I003769
141,염화마그네슘수화물(Magnesium Chloride Hydrate),,I001975
142,염화칼륨(Potassium Chloride),,I003201
143,염화칼슘수화물(Calcium Chloride Hydrate),,I000235
144,레보도파(Levodopa),,I001850
145,벤세라지드염산염(Benserazide Hydrochloride),,I004471
146,피록시캄(Piroxicam),,I003108
147,리도카인(Lidocaine),,I006337
148,L-멘톨(L-Menthol),,I006981
149,그라니세트론(Granisetron),,I012326
150,엑사메타짐(Exametazime),,I007387
151,멜라토닌(Melatonin),{{카페인}} 복용시 주의하세요. 카페인은 이 약의 흡수를 저해할 수 있어요.,I002095
152,멜라토닌(Melatonin),음주를 삼가세요. 알코올은 이 약의 수면효과를 저해할 수 있어요.,I002095
153,멜라토닌(Melatonin),에키나시아 복용에 주의하세요. 에키나시아와 이 약을 함께 복용시 신체 면역 기능에 부정적인 영향을 미칠 수 있어요.,I002095
154,멜라토닌(Melatonin),"마늘, 생강, 인삼, 은행엽은 피를 묽게 하여 출혈의 위험성을 높일 수 있으니 과량 섭취에 주의하세요.",I002095
155,멜라토닌(Melatonin),비타민 B12 는 이 약의 효과를 저해할 수 있어요. ,I002095
156,옥시부티닌(Oxybutynin),식사와 관계없이 복용할 수 있어요.,I012594
157,옥시부티닌(Oxybutynin),음주는 졸음을 유발하고 소변을 많이 보게 하므로 이 약의 부작용을 악화시키는 동시에 효능을 약화시킬 수 있어요.,I012594
158,옥시부티닌(Oxybutynin),"마늘과 멜라토닌은 이 약의 대사를 저해하므로, 이 약의 혈중농도를 증가시켜 부작용을 악화시킬 수 있어요.",I012594
159,옥시부티닌(Oxybutynin),"녹차, 아스파라거스 추출물, 민들레 등과 같은 천연 이뇨제는 화장실을 자주 드나들게 만들어 이 약의 치료효과를 방해할 수 있으니 주의하세요.",I012594
160,살리실산메틸(Methyl Salicylate),,I002229
161,DL-캄파(DL-Camphor),,I006126
162,니트로글리세린(Nitroglycerin),식사와 관계없이 복용할 수 있어요.,I001742
163,니트로글리세린(Nitroglycerin),음주를 삼가세요. 알코올의 혈관 확장 작용으로 심한 저혈압 증상이 발생할 수 있어요.,I001742
164,히알우로니다제(Hyaluronidase),,I004778
165,구아이페네신(Guaifenesin),식사와 관계없이 복용할 수 있어요. ,I001784
166,구아이페네신(Guaifenesin),이 약을 복용하는 동안 충분한 수분섭취를 유지하세요.,I001784
167,덱스트로메토르판브롬화수소산염수화물(Dextromethorphan Hydrobromide Hydrate),,I000860
168,클로르페니라민말레산염(Chlorpheniramine Maleate),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 섭취하세요.,I004615
169,클로르페니라민말레산염(Chlorpheniramine Maleate),이 약을 복용하면서 알코올을 섭취하면 졸음이 심해질 수 있어요. 음주를 삼가세요.,I004615
170,DL-메틸에페드린염산염(DL-Methylephedrine Hydrochloride),,I006391
171,시메티딘(Cimetidine),식사와 관계없이 복용할 수 있어요. ,I004695
172,시메티딘(Cimetidine),충분한 물과 함께 복용하세요.,I004695
173,시메티딘(Cimetidine),마그네슘 또는 철분 함유 보충제 복용시 이 약과 최소 2시간의 시간 간격을 두고 복용하세요.,I004695
174,시메티딘(Cimetidine),마그네슘 또는 알루미늄 함유 제산제 복용시 이 약과 최소 2시간의 시간 간격을 두고 복용하세요.,I004695
175,시메티딘(Cimetidine),"음주를 삼가세요. 알코올은 위궤양, 가슴쓰림, 위산역류 등을 유발할 수 있어요.",I004695
176,시메티딘(Cimetidine),{{카페인}} 복용시 주의하세요. 카페인은 하부식도괄약근을 느슨하게 하여 위산역류 등을 유발할 수 있어요.,I004695
177,시메티딘(Cimetidine),"마늘, 양파 등 자극성이 강한 식품은 위장장애를 유발하여 이 약의 효과를 상쇄시킬 수 있으니 섭취에 주의하세요.",I004695
178,시메티딘(Cimetidine),이 약은 비타민 B의 고갈을 일으킬 수 있어요. 보충제의 복용이 도움을 줄 수 있어요.,I004695
179,덱스판테놀(Dexpanthenol),,I000846
180,레티놀팔미테이트(Retinol Palmitate),,I006521
181,리보플라빈포스페이트나트륨(Riboflavin Sodium Phosphate),,I003530
182,티아민염산염(Thiamine Hydrochloride),,I005414
183,황산바륨(Barium Sulfate),,I004428
184,살리실산(Salicylic Acid),,I003626
185,갈근(Pueraria Root),,I006503
186,녹두(Phaseoli Radiati Semen),,I008165
187,모과(Chaenomelis Fructus),,I008202
188,반하(Pinellia Tuber),,I006469
189,복령(Poria),,I006276
190,신곡(Massa Medicata Fermentata),,I008286
191,적소두(Phaseoli Angularis Semen),,I008352
192,창출(Atractylodes Rhizome),,I006079
193,택사(Alisma Rhizome),,I006024
194,흑두(Glycine Semen Nigra),,I008451
195,황련(Coptis Rhizome),,I006174
196,히오스신(Hyoscine),식사와 관계없이 복용할 수 있어요. ,I004841
197,히오스신(Hyoscine),음주를 삼가세요. 어지러움증과 같은 진정작용이 심해질 수 있어요.,I004841
198,히오스신(Hyoscine),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 섭취하세요.,I004841
199,디히드로코데인타르타르산염(Dihydrocodeine Tartrate),"마약성진통제를 사용하는 동안 음주를 하지 마세요. 알코올(술)로 인해 혼수, 사망과 같은 치명적인 부작용의 위험이 증가할 수 있어요. ",I005985
200,염화암모늄(Ammonium Chloride),,I004220
201,글리신(Glycine),,I001743
202,L-류신(L-Leucine),,I001833
203,L-리신아세트산염(L-Lysine Acetate),,I001949
204,L-메티오닌(L-Methionine),,I002198
205,L-발린(L-Valine),,I005745
206,L-세린(L-Serine),,I003687
207,L-아르기닌(L-Arginine),,I004325
208,L-알라닌(L-Alanine),,I004058
209,L-이소류신(L-Isoleucine),,I005024
210,L-트레오닌(L-Threonine),,I005441
211,L-트립토판(L-Tryptophan),,I005691
212,L-페닐알라닌(L-Phenylalanine),,I002983
213,L-프롤린(L-Proline),,I003301
214,L-히스티딘(L-Histidine),,I004756
215,육계(Cinnamon Bark),,I000485
216,인진호(Artemisia Capillaris Herb),,I008335
217,저령(Chuling),,I006153
218,인유두종바이러스백신(Human Papilloma Virus Vaccine),,I004776
219,목단피(Moutan Root Bark),,I006398
220,박하(Mentha Herb),,I002909
221,작약(Peony Root),,I006447
222,치자(Gardenia Fruit),,I006252
223,계지(Cinnamomum Branch),,I008128
224,마황(Ephedra Herb),,I001223
225,신이(Magnolia Bud),,I008288
226,천궁(Cnidium Rhizome),,I006158
227,고본(Angelicae Tenuissimae Radix),,I008132
228,길경(Platycodon Root),,I006474
229,백지(Angelica Dahurica Root),,I006054
230,황금(Scutellaria Root),,I006550
231,노스카핀(Noscapine),,I002629
232,에텐자미드(Ethenzamide),,I005995
233,생강(Raw Ginger),,I012274
234,자소엽(Perilla Leaf),,I006449
235,향부자(Cyperus Rhizome),,I006185
236,강활(Ostericum Root),,I006430
237,대황(Rhubarb),,I003526
238,독활(Aralia Continentalis Root),,I006068
239,망초(Natrii Sulfas),,I006574
240,방풍(Saposhnikovia Root),,I006542
241,석고(Gypsum),,I000268
242,세신(Asiasarum Root and Rhizome),,I004348
243,숙지황(Prepared Rehmannia Root),,I006585
244,연교(Forsythia Fruit),,I006236
245,전갈(Scorpio),,I003657
246,천마(Gastrodia Rhizome),,I006254
247,형개(Schizonepeta Spike),,I006547
248,활석 (滑石)(Talcum),,I012278
249,황백(Phellodendron Bark),,I006455
250,지황(Rehmannia Root),,I006519
251,대두황권(Glycine Semen Germinatum),,I008178
252,맥문동(Liriope Tuber),,I006344
253,백렴(Ampelopsis Radix),,I008221
254,산약(Dioscorea Rhizome),,I006202
255,아교(Asini Corii Colla),,I009898
256,"영양각(Gazelle Horn, Antelope)",,I008304
257,용뇌(Borneol),,I012275
258,우황(Cattle Gallstone),,I006429
259,포황(Cat-tail),,I008410
260,행인(Apricot Kernel),,I006065
261,L-무스콘(L-Muscone),,I012237
262,모려(Oyster Shell),,I006436
263,용골(Longgu),,I006350
264,도인(Peach Kernel),,I006445
265,곽향(Agastache Herb),,I008138
266,대복피(Areca Peel),,I008179
267,반하생강백반제,,IB00325
268,후박(Magnolia Bark),,I006366
269,지각(Aurantium Immature Fruit),,I008368
270,청피(Citrii Unshiu Immature Peel),,I008387
271,목통(Akebia Stem),,I006021
272,오수유(Evodia Fruit),,I006226
273,맥아(Hordeum Fruit Germination),,I008199
274,사인(Amomum Fruit),,I006050
275,지실(Poncirus Immature Fruit),,I006480
276,지모(Anemarrhena Rhizome),,I006052
277,방기(Sinomenium Stem and Rhizome),,I006557
278,용담(Gentian Root and Rhizome),,I012233
279,우슬(Achyranthes Root),,I006013
280,위령선(Clematidis Radix),,I008324
281,고삼(Sophora Root),,I006578
282,산수유(Cornus Fruit),,I006176
283,백수오(Cynanchi Wilfordii Radix),,I008226
284,우방자(Arctium Fruit),,I008318
285,구기자(Lycium Fruit),,I006353
286,두충(Eucommia Bark),,I006225
287,목향(Aucklandia Root),,I008207
288,백자인(Thuja Seed),,I006758
289,복분자(Rubus Fruit),,I008236
290,산초(Zanthoxylum Peel),,I005869
291,석창포(Acori Gramineri Rhizoma),,I008272
292,오미자(Schisandra Fruit),,I006546
293,원지(Polygala Root),,I012234
294,육종용(Cistanchis Herba),,I008330
295,지골피(Lycium Root Bark),,I008369
296,차전자(Plantago Seed),공복(식사 1시간 이전 또는 식사 2시간 이후)에 복용하세요.,I005048
297,차전자(Plantago Seed),반드시 충분한 양의 수분(최소 250ml의 액제)과 함께 이 약을 복용하세요.,I005048
298,차전자(Plantago Seed),이 약은 다른 약물의 흡수에 영향을 미칠 수 있어요. 다른 약물과 최소 2시간 이상의 시간 간격을 두고 이 약을 복용하세요. ,I005048
299,천문동(Asparagus Tuber),,I006076
300,토사자(Cuscutae Semen),,I008401
301,파극천(Morinda Root),,I008403
302,내복자(Raphanus Seed),,I008158
303,자완(Aster Root),,I008342
304,조협(Gleditsiae Fructus),,I008363
305,천오(Aconite),,I004008
306,파두(Croton Seed),,I006609
307,고량강(Alpinia Rhizome),,I008130
308,익지(Bitter Cardamon),,I006094
309,하수오(Polygonum Multiflorum Root),,I008414
310,만형자(Vitex Fruit),,I008198
311,감국(Chrysanthemum Indicum Flower),,I008116
312,산조인(Zizyphus Seed),,I006648
313,연자육(Nelumbo Seed),,I006410
314,용안육(Longan Arillus),,I006349
315,금은화(Lonicera Flower),,I006351
316,상백피(Mulberry Root Bark),,I006399
317,절패모(Fritillaria Thunbergii Bulb),,I006250
318,골쇄보(Drynaria Rhizome),,I007974
319,귀판(Testudinis Plastrum),,I008149
320,보골지(Psoraleae Semen),,I008234
321,정향(Clove),,I000594
322,필발(Piperis Longi Fructus),,I008412
323,후추(Black Pepper),,I006099
324,사향(Musk),,I002420
325,백두구(Round Amomum Fruit),,I006049
326,백강잠(Batryticatus Bombyx),,I008216
327,선퇴(Cicadidae Periostracum),,I008275
328,괄루근(Trichosanthes Root),,I006616
329,꿀(Honey),,I003397
330,우담남성,,I012242
331,호박(Succinum),,I008441
332,조구등(Uncariae Ramulus Et Uncus),,I008362
333,오약(Lindera Root),,I008310
334,단삼(Salvia Miltiorrhiza Root),,I006541
335,현삼(Scrophularia Root),,I006549
336,비씨지백신(BCG Vaccines),,I004439
337,등피(Aurantii Pericarpium),,I008191
338,목별자(Momordicae Semen),,I008205
339,몰약(Myrrh),,I002426
340,백급(Bletillae Rhizoma),,I008218
341,연단(Minium),,I008299
342,유향(Olibanum),,I001623
343,황(Sulfur),,I005223
344,황납(Yellow Beeswax),,I006639
345,살리실산글리콜(Glycol Salicylate),,I001747
346,글리시리진산(Glycyrrhizinic Acid),,I005992
347,D-캄파(D-Camphor),,I000281
348,복신(Hoelen Cum Radix),,I008237
349,영묘향(Civet),,I006994
350,애엽(Artemisia Herb),,I008290
351,자소자(Perilla Seed),,I008340
352,"인플루엔자분할백신(Influenza Vaccine (Split virion, Inactivated))",,I009317
353,삼릉(Sparganium Rhizome),,I008252
354,아출(Zedoary),,I006641
355,일본뇌염백신(Japanese Encephalitis Vaccine),,I005056
356,디프테리아톡소이드(Diphtheria Toxoid),,I006205
357,파상풍톡소이드(Tetanus Toxoid),,I007009
358,석곡(Dendrobii Herba),,I008264
359,초오(Korean Aconite Root),,I008391
360,"사스코로나바이러스-2표면항원백신(유전자재조합)(SARS-CoV-2 Vaccine (Surface Antigen, Recombinant))",,I012964
361,락트산나트륨(Sodium Lactate),,I003805
362,포도당일수화물(Glucose Monohydrate),,I009621
363,금박(Aurum),,I008151
364,백편두(Dolichos Seed),,I008229
365,은박(Silver Foil),,I008332
366,철분(Iron),,I004997
367,D-만니톨(D-Mannitol),,I002014
368,주사용수(Water for Injection),,I005819
369,동과자(Benincasae Semen),,I008183
370,알란토인(Allantoin),,I004099
371,양파(Onion),,I002690
372,헤파린나트륨(Heparin Sodium),,I004705
373,벤포티아민(Benfotiamine),,I004465
374,이노시톨(Inositol),,I004928
375,콜레칼시페롤(Cholecalciferol),,I000622
376,콜린타르타르산염(Choline Tartrate),,I004642
377,DL-메티오닌(DL-Methionine),,I001072
378,γ-오리자놀(γ-Oryzanol),,I002717
379,글리세로인산마그네슘(Magnesium Glycerophosphate),,I001982
380,락트산칼슘수화물(Calcium Lactate Hydrate),,I000253
381,십전대보탕,,IB00168
382,백당(Sucrose),,I005156
383,상지(Mori Ramulus),,I008258
384,크레오소트(Creosote),,I000684
385,현초(Geranium Herb),,I006256
386,구아야콜(Guaiacol),,I001779
387,질려자(Tribulus Fruit),,I008376
388,계혈등(Spatholobi Caulis),,I008129
389,백미(Cynanchi Radix),,I008222
390,사삼(Adenophorae Radix),,I008246
391,상엽(Mori Folium),,I008257
392,석결명(Haliotidis Concha),,I008263
393,여정실(Ligustrum Fruit),,I008297
394,한련초(Ecliptae Herba),,I008417
395,콜레라백신(Cholera Vaccine),,I004638
396,레보플록사신수화물(Levofloxacin Hydrate),식사와 관계없이 복용할 수 있어요. ,I001852
397,레보플록사신수화물(Levofloxacin Hydrate),이 약을 복용하는 동안 충분한 수분섭취를 유지하세요.,I001852
398,레보플록사신수화물(Levofloxacin Hydrate),"이 약을 우유 및 유제품, 칼슘 강화 주스와 단독으로 복용하지 마세요. 칼슘이 이 약의 흡수를 방해하여 약효를 떨어뜨릴 수 있어요.",I001852
399,레보플록사신수화물(Levofloxacin Hydrate),"마그네슘, 철분, 아연 또는 칼슘 함유 보충제 복용시 이 약 복용 최소 3시간 이전 또는 2시간 이후에 복용하세요.",I001852
400,레보플록사신수화물(Levofloxacin Hydrate),마그네슘 또는 알루미늄 함유 제산제 복용시 이 약 복용 최소 3시간 이전 또는 2시간 이후에 복용하세요.,I001852
401,레보플록사신수화물(Levofloxacin Hydrate),"{{카페인}} 복용시 주의하세요. 이 약의 중추신경계 부작용(신경과민, 불안, 불면)이 심해질 수 있어요.",I001852
402,괄루인(Trichosanthes Seed),,I006617
403,침향(Aloeo Wood),,I008397
404,로타바이러스백신(Rotavirus Vaccine),,I003588
405,시프로플록사신(Ciprofloxacin),식사와 관계없이 복용할 수 있어요. ,I000493
406,시프로플록사신(Ciprofloxacin),이 약을 복용하는 동안 충분한 수분섭취를 유지하세요.,I000493
407,시프로플록사신(Ciprofloxacin),"유제품 또는 무기질 강화음료(예 : 우유, 요구르트, 칼슘강화 오렌지주스)와 함께 복용하면 이 약의 흡수가 감소하기 때문에 병용하지 않는 것이 좋아요 (단, 식사의 일부로 섭취하는 식이성 칼슘은 상관없음).",I000493
408,시프로플록사신(Ciprofloxacin),"마그네슘, 철분, 아연 또는 칼슘 함유 보충제 복용시 이 약 복용 최소 3시간 이전 또는 2시간 이후에 복용하세요.",I000493
409,시프로플록사신(Ciprofloxacin),마그네슘 또는 알루미늄 함유 제산제 복용시 이 약 복용 최소 3시간 이전 또는 2시간 이후에 복용하세요.,I000493
410,시프로플록사신(Ciprofloxacin),"이 약은 카페인의 효과를 높일 수 있으므로 지나친 {{카페인}} 섭취에 주의하세요.이 약의 중추신경계 부작용(신경과민, 불안, 불면)이 심해질 수 있어요. ",I000493
