질병명,권장식재료,권장영양소,주의식재료,주의영양소
구강암,"참기름, 계란, 돼지고기, 닭고기, 쇠고기, 갈치, 고등어, 참치, 콩, 두부, 채소",단백질,"소금, 고추가루",
전립선암,"견과류, 갈치, 고등어, 참치, 토마토, 우유, 두유, 요거트","비타민 E, 셀레늄, 무기질, 라이코펜, 비타민 D","쇠고기, 닭고기, 돼지고기, 버터, 콩, 현미, 우유, 장","지방, 섬유소, 칼슘"
소장암,"생수, 채소, 사과, 복숭아, 배, 현미","비타민, 무기질","우유, 두유, 시금치, 샐러리, 초콜릿, 딸기, 땅콩, 소고기, 돼지고기, 소금","지방, 포화지방"
니아신 결핍,"소고기, 돼지고기, 닭고기, 갈치, 고등어, 참치, 밀가루, 버섯, 현미, 우유, 두유, 달걀","철분, 비타민 B6, 단백질, 트립토판",,
본태성(원발성) 고혈압,"채소, 사과, 복숭아, 배, 우유, 두유, 달걀, 현미, 고구마, 감자, 시금치, 토마토, 바나나, 견과류, 콩","단백질, 칼륨, 마그네슘, 칼슘, 무기질","소금, 장","지방, 포화지방"
비타민A 결핍,"달걀, 우유, 두유, 갈치, 고등어, 참치, 단호박, 김","비타민 A, 카로티노이드",,
비타민 D 결핍,"갈치, 고등어, 참치, 계란, 치즈, 버섯, 우유, 요거트, 두유, 멸치","비타민 D, 칼슘",,
식사성 아연 결핍,"굴, 조개, 소고기, 돼지고기, 닭고기, 오리고기, 견과류, 콩, 현미, 우유, 두유, 오징어, 꽃게",아연,,
심방세동,,,"시금치, 쑥갓, 취나물, 부추, 청국장","염분, 포화지방산, 트랜스지방산, 비타민 K"
아스코르빈산(비타민C) 결핍,"레몬, 키위, 사과, 복숭아, 배, 시금치, 양배추, 풋고추, 피망, 브로콜리, 토마토, 감자, 채소",비타민 C,,
피리독신(비타민B6) 결핍,"현미, 바나나, 시금치, 감자, 쌀, 돼지고기, 닭고기, 고등어, 달걀, 양파, 마늘, 연어",비타민 B6,,단백질
심부전,"갈치, 고등어, 참치, 콩, 계란, 두부, 채소, 사과, 복숭아, 배, 식초, 레몬즙, 매실청, 유자청, 참기름, 들기름, 깨, 견과류, 후추가루,고춧가루, 겨자, 고추냉이","단백질, 비타민, 무기질","소금, 장, 김치, 햄, 소시지, 베이컨","지방, 염분"
B형 간염,"참기름, 들기름, 버터, 빵, 감자, 시럽, 돼지고기, 쇠고기, 닭고기, 갈치, 고등어, 참치, 계란, 두부, 깨, 식초, 채소, 사과, 복숭아, 배, 우유, 두유","칼로리, 단백질, 당질, 지방, 비타민, 무기질",,
2형 당뇨병,"현미, 감자, 고구마, 채소, 버섯, 미역","복합당, 섬유소","설탕, 꿀, 라면, 계란, 돼지고기,쇠고기,닭고기, 햄, 소시지, 베이컨, 소금, 설탕","칼로리, 단순당, 포화지방, 콜레스테롤, 나트륨"
혈관성 치매,"현미, 채소, 사과, 복숭아, 배, 갈치, 고등어, 참치, 콩, 견과류",섬유소,"소고기, 돼지고기, 소금",나트륨
파킨슨병,"현미, 나물, 우유, 두유","섬유소, 칼슘","치즈, 초콜릿, 소금, 견과류","단백질, 티라민, 나트륨"
통풍,"채소, 사과, 복숭아, 배","섬유소, 엽산, 비타민 C","갈비, 삼겹살, 고등어, 꽁치, 삼치, 멸치, 두부,돼지고기,쇠고기,닭고기, 땅콩, 호두, 잣, 견과류","퓨린, 단백질, 지방"
골다공증,"우유, 두유, 고등어, 갈치, 참치, 시금치, 채소, 멸치, 연어, 계란","칼슘, 비타민 D","채소, 커피, 술, 와인, 탄산수","염분, 식이섬유소, 단백질, 카페인, 알코올"
만성폐쇄성폐질환,"갈치, 고등어, 참치, 계란, 두부, 돼지고기,쇠고기,닭고기, 채소, 사과, 복숭아, 배, 현미, 견과류, 연어","단백질, 비타민A, 비타민C, 비타민E, 오메가3지방산","소금, 양배추, 브로콜리",나트륨
바이러스성 폐렴,"돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 계란, 두부, 콩, 미역, 요거트, 치즈, 채소, 사과, 복숭아, 배, 견과류","단백질, 비타민C, 비타민E, 셀레늄",,
기관지확장증,"돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 계란, 콩, 두부, 미역, 새우, 깨, 잣, 연어, 호두, 들기름, 채소, 사과, 복숭아, 배, 견과류","단백질, 열량, 오메가3지방산, 비타민C, 비타민E, 셀레늄",,
대사증후군,"현미, 돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 달걀, 콩, 채소, 사과, 복숭아, 배, 우유, 두유","비타민, 무기질, 섬유소, 불포화지방","밥, 빵, 감자, 고구마, 떡, 소금, 김치, 술, 와인","당질, 복합당, 나트륨, 포화지방, 트랜스지방, 콜레스테롤, 알코올"
고지혈증,"현미, 돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 달걀, 콩, 채소, 사과, 복숭아, 배, 우유, 두유","비타민, 무기질, 섬유소, 불포화지방","밥, 빵, 감자, 고구마, 떡, 소금, 김치, 술, 와인","당질, 복합당, 나트륨, 포화지방, 트랜스지방, 콜레스테롤, 알코올"
C형 간염,"참기름, 들기름, 시럽, 버터, 빵, 감자, 고기, 갈치, 고등어, 참치, 계란, 두부, 깨, 식초, 채소, 사과, 복숭아, 배, 우유, 두유","칼로리, 당질, 지방, 단백질, 비타민, 무기질",,"칼로리, 포화지방산, 트랜스지방산, 콜레스테롤, 당질"
A형 간염,"참기름, 들기름, 시럽, 버터, 빵, 감자, 돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 계란, 두부, 깨, 식초, 채소, 사과, 복숭아, 배, 우유, 두유","칼로리, 단백질, 당질, 지방, 비타민, 무기질",,
뇌종양,"돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 콩, 계란, 두부, 미역",단백질,,
간암,"돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 계란, 두부, 견과류, 우유, 두유, 마요네즈, 고구마","단백질, 열량","설탕, 시럽, 커피, 즙, 김치, ",나트륨
갑상선암,"우유, 두유, 멸치, 두부, 계란, 국수",칼슘,"미역, 김",요오드
급성 심근경색,"현미, 채소, 미역, 김, 사과, 복숭아, 배","불포화지방산, 섬유소","소금, 장, 김치, 햄, 소시지, 베이컨","당분, 포화지방산, 트랜스지방산, 염분, 나트륨"
간경변증,"돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 계란, 두부, 채소, 사과, 복숭아, 배, 식초, 참기름","열량, 단백질, 비타민, 무기질","소금, 김치, 햄, 소시지, 베이컨","염분, 나트륨"
지방간,"돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 계란, 두부, 채소, 사과, 복숭아, 배, 식초, 참기름","단백질, 비타민, 무기질","라면, 빵",열량
셀레늄 결핍,"갈치, 고등어, 참치, 연어, 콩, 견과류, 마늘",셀레늄,,
비타민 E 결핍,"아몬드, 잣, 호두, 참깨, 견과류, 마요네즈, 참기름, 콩기름, 우유, 두유, 채소, 사과, 복숭아, 배","비타민 E, 지방, 비타민 C",,
후두암,"돼지고기,쇠고기,닭고기, 갈치, 고등어, 참치, 연어, 콩, 두부, 계란, 채소, 사과, 복숭아, 배","탄수화물, 단백질, 지방, 비타민, 미네랄, 섬유질",,
폐암,"돼지고기, 쇠고기, 닭고기, 갈치, 고등어, 참치, 연어, 콩, 두부, 계란, 채소, 사과, 복숭아, 배","단백질, 비타민, 무기질","당근, 단호박, 시금치, 고구마",베타카로틴
크론병,,,"소금, 고추가루, 고춧가루, 커피, 코코아, 우유, 두유, 채소, 사과, 복숭아, 배","염분, 나트륨, 카페인, 섬유질"
유방암,"돼지고기, 쇠고기, 닭고기, 갈치, 고등어, 참치, 연어, 콩, 두부, 계란, 국수",단백질,"밥, 빵, 떡, 감자, 고구마, 옥수수, 사과, 복숭아, 배","칼로리, 탄수화물"
식도암,"돼지고기, 닭고기, 쇠고기, 갈치, 고등어, 참치, 연어, 콩, 두부, 계란, 사과, 복숭아, 배, 채소, 치즈","단백질, 비타민, 무기질","소금, 고추가루","나트륨, 염분"
궤양성 대장염,,,"소금, 고추가루, 고춧가루, 커피, 코코아, 우유, 두유, 채소, 사과, 복숭아, 배","염분, 나트륨, 카페인, 섬유질"
각기병,"돼지고기, 닭고기, 오리고기, 닭, 계란, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 콩,귀리, 수수,현미 , 감자, 아스파라거스, 브로콜리, 땅콩, 해바라기씨, 우유, 건포도",,"백미,소주, 맥주, 막걸리",
간경화,"밥, 떡, 감자, 고구마, 과일, 채소, 돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 계란,두부, 콩",,"김치, 젓갈, 장아찌, 자반고등어고등어,  반찬, 햄, 소시지, 국, 술",
간성혼수,"밥, 떡, 감자, 고구마, 과일, 채소",,"돼지고기, 쇠고기, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 콩, 계란, 우유,버터,치즈",
간이식후,"돼지고기,쇠고기,닭고기, 우유, 두유, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 콩, 채소, 미역, 다시마, 파래",,"라면, 삼겹살, 베이컨, 장아찌, 젓갈, 날치알  ",
갑상선기능저하증,"밥, 국수, 떡, 식빵, 씨리얼, 감자, 고구마, 밤,채소, 김치.미역, 다시마, 버섯, 토마토, 딸기, 주스, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 쇠고기, 돼지고기, 닭고기, 달걀, 두부, 콩,우유, 요쿠르트, 치즈, 아이스크림",,"꽁치,고등어,쭈꾸미,주꾸미,낙지,아귀,대구,광어,굴비,코다리,연어,우유,버터,치즈,달걀",
갑상선기능항진증,"밥, 국수, 떡, 식빵, 씨리얼, 감자, 고구마, 밤, 채소, 김치,미역, 다시마, 버섯, 토마토, 딸기, 주스, 쇠고기, 돼지고기, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 달걀, 두부, 콩,우유, 요쿠르트, 치즈, 아이스크림",,"카페인 음료,술",
결핵,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 계란",,,
고마그네슘혈증,"백미, 쇠고기, 돼지고기, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치",,"코코아, 우유, 계란, 시금치, 무청, 근대, 컬리플라워, 브로컬리, 부추 당근 ",
고칼슘혈증,"흰밥, 국수, 식빵, 감자. 쇠고기, 돼지고기, 닭고기, 계란, 전복, 홍합,호박,무우, 배추, 콩나물, 숙주, 양파, 두유,식용유, 잣",,"녹두, 율무,  고등어, 통조림, 대두, 유부, 무청, 돌나물, 미역, 무말랭이, 고사리, 상추, 근대, 미나리, 우거지, 참깨, 호두, 흑설탕, 물엿",
고혈압식 / 폐성 고혈압,"채소, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,두부, 견과류,과일,우유",,"김치, 젓갈, 장아찌, 건어물, 자반고등어,햄, 통조림",
구루병,"우유, 요구르트, 치즈, 두부, 새우, 정어리, 연어, 녹색콩, 시금치, 브로콜리, 콩, 두부, 멸치, 다시마, 미역, 표고버섯, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치",,"커피, 콜라, 초콜릿,소주, 맥주, 막걸리",
급만성 림프모구성백혈병,"꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,돼지고기,쇠고기,닭고기, 채소, 과일",,,
급성/만성 위염,"돼지고기,쇠고기,닭고기, 조기,아귀, 계란찜",,"커피, 술",
급성골수성백혈병,"꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,돼지고기,쇠고기,닭고기, 채소, 과일",,,
급성신부전,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 계란",,"김치, 라면, 건어물,콩가루",
급성췌장염,"돼지고기, 소고기, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 채소 ",,"라면,갈비, 삼겹살, 등심, 안심, 참치캔,꽁치통조림,고등어통조림, 장어",
다발성골수종,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,달걀, 두부, 콩, 치즈,채소,과일,통조림,주스,우유,요쿠르트, 두유, 치즈, 아이스크림,밥,죽, 빵, 크래커, 떡, 감자, 고구마, 국수, 미숫가루",,"견과류, 채소,과일",
단장증후군,"쇠고기, 돼지고기, 계란, 두부, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 채소, 사과, 복숭아, 수박, 과일 통조림",,"햄, 조개, 콩비지, 도라지, 과일, 감, 딸기, 키위, 미역, 다시마, 파래, 견과류",
담낭암,"쌀밥, 밥, 쇠고기, 돼지고기, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 콩, 채소",,"라면,갈비, 삼겹살, 등심, 안심, 장어",
당뇨병성족부병,"채소,곤약, 미역, 다시마, 파래, 버섯",,초콜렛,
당뇨병,"채소,곤약, 미역, 다시마, 파래, 버섯",,"초콜렛,견과류",
당원병식/당원축적병,"마카로니, 호밀빵, 콩",,"과일, 우유, 설탕, 시럽, 꿀, 코코아, 커피,차",
대사성산증,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 채소, 과일",,술,
대장암,"채소,과일, 우유,버터,치즈",,"돼지고기,쇠고기,닭고기, 햄, 소시지, 베이컨",
대장양성종양,"채소,과일, 우유,버터,치즈",,"돼지고기,쇠고기,닭고기",
덤핑증후군,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치",,"설탕, 꿀,통조림, 아이스크림, 돼지고기,쇠고기,닭고기",
만성 췌장염,"돼지고기, 소고기, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 채소",,"갈비, 삼겹살, 등심, 안심, 참치캔,꽁치통조림,고등어통조림, 장어, 전",
만성담낭염,"식빵, 쇠고기, 돼지고기, 닭고기, 가자미, 새우, 두부,과일",,"갈비, 삼겹살, 햄, 장어, 치즈",
만성신부전,,,"김치, 라면, 건어물,우유, 요구르트, 치즈,견과류,현미, 흑미, 팥,시금치, 늙은 호박, 미나리, 바나나, 토마토",
만성피로증후군,"과일, 채소,두부,돼지고기,쇠고기,닭고기, 조기,아귀,밥, 빵, 떡, 감자,고구마",,"설탕, 아스파탐",
말기신질환,,,"김치, 라면, 건어물, 우유, 요구르트, 치즈,견과류,현미, 흑미, 팥,시금치, 늙은 호박, 미나리, 시래기, 바나나, 토마토, 키위, 참외",
바이러스성 간염,"밥, 떡, 감자, 고구마, 과일, 채소, 돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 계란, 두부, 콩",,,
복막염,"돼지고기,쇠고기,닭고기,꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치 , 채소, 과일 ",,"채소, 우유,버터,치즈, 커피, 술",
복수,,,"김치,자반고등어고등어, 햄, 소시지",
빈혈,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 계란,우유,버터,치즈, 채소, 과일",,녹즙,
사구체신염,,,"김치, 라면, 건어물, 콩가루",
섭식장애,"밥, 떡, 감자, 고구마, 과일, 채소,돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 계란, 두부, 콩",,,
셀리악병,"쌀, 감자, 콩가루, 옥수수, 돼지고기,쇠고기,닭고기, 달걀, 채소, 과일, 버터",,"밀, 귀리, 호밀, 보리",
소화불량,"조기, 아귀,시금치, 무우, 근대, 당근, 애호박",,육포,
식도염,"두부,돼지고기,쇠고기,닭고기, 조기, 아귀,밥, 빵, 크래커, 국수, 감자",,"커피, 토마토, 오렌지주스, 쵸콜렛",
식도정맥류,"밥, 감자, 고구마, 떡,돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 계란,콩,채소, 과일",,"멸치, 오징어",
심근경색,"채소,꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,두부,과일,우유",,"갈비, 삼겹살, 장어,새우, 오징어, 계란노른자, 김치,햄, 통조림, 라면",
십이지장궤양,"꽁치,고등어,참치",,"알코올, 커피, 콜라, 코코아",
알콜성간질환,"밥, 감자, 고구마, 떡,돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 계란콩,채소, 과일",,,
열량조절,"채소,미역, 다시마, 파래, 곤약, 차,보리차, 생수, 탄산수",,"라면,돼지고기,쇠고기,닭고기, 통조림 과일, 가당 우유, 땅콩, 호두, 잣, 소주, 맥주, 막걸리",
요로결석,섬유소,,"생맥주, 차, 코코아, 견과류, 딸기, 귤",
위궤양,"돼지고기,쇠고기,닭고기, 조기,아귀, 계란찜",,,
위식도역류질환,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 계란,브로콜리, 양파, 마늘, 완두콩, 더덕, 도라지, 당근, 오이",,"커피, 초콜릿, ,오렌지주스, 라면",
윌슨병,"쌀밥, 국수, 쇠고기, 닭고기, 계란흰자, 조기,아귀, 우유, 채소, 과일, 식물성 기름, 설탕",,"귀리, 수수, 현미, 오징어, 새우, 양송이 버섯, 견과류, 코코아",
임신성 당뇨,"채소 ,우유,버터,치즈,곤약, 미역, 다시마, 파래, 버섯",,"초콜렛,돼지고기,쇠고기,닭고기, 버터, 마가린, 소세지, 햄, 베이컨",
임신성고혈압,"우유,버터,치즈, 콩, 들깨, 참깨, 멸치, 뱅어포,간, 굴, 대구, 계란, 어린잎채소,귀리, 수수, 현미, 채소, 과일",,"어묵, 게맛살,김치,삽겹살, 닭고기, 햄, 소시지,커피, 홍차, 녹차, 코코아",
자궁내 성장지연,"쇠고기, 굴, 부추, 시금치, 쑥갓, 근대",,초콜릿,
"장폐색식, 또는 장유착","밥, 식빵, 국수, 감자, 쇠고기, 돼지고기, 계란, 두부, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 닭고기,양송이, 오이, 배추, 무, 양파, 가지, 양송이, 당근, 시금치,사과, 복숭아, 귤, 포도, 메론, 과일통조림, 주스,우유, 요플레",,"현미, 율무, 미숫가루, 콩, 고구마, 옥수수,햄,조개, 김치, 도라지, 근대, 고사라, 콩나물, 부추, 숙주,표고버섯,감, 배, 오렌지, 키위, 토마토, 딸기, 파인애플,미역, 다시마, 파래",
저나트륨혈증,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 채소, 과일류",,,
저마그네슘혈증,"코코아, 아몬드, 땅콩, 호두, 잣, 현미, 통밀, 우유, 계란, 시금치, 무청, 근대, 컬리플라워, 브로컬리, 부추, 당근",,"백미,돼지고기,쇠고기,닭고기,알코올",
저칼륨,"흰쌀, 숙주, 고사리, 가지, 부추, 당근, 돗나물, 배추, 콩나물, 가지,사과, 복숭아, 감, 배, 딸기, 포도, 귤, 거봉",,"밥, 보리밥, 현미, 검정쌀, 수수, 고구마, 감자, 밤, 미나리, 단호박, 늙은호박, 시금치, 아욱, 부추, 녹즙, 키위, 토마토, 바나나, 참외, 메론",
저혈당증,"설탕, 사탕, 주스, 음료수, 요쿠르트",,채소,
저혈압,"채소, 과일",,"삼겹살, 햄, 소시지",
전립암,"채소, 과일, 토마토",,"고열량식, 고지방식",
전이성간암,"현미, 보리,파프리카, 당근, 단호박, 양배추, 케일, 가지",,술,
전이성폐암,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 콩, 두부, 계란, 채소, 과일, 견과류,우유,버터,치즈",,,
제대혈조혈모세포,"꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,돼지고기,쇠고기,닭고기, 채소, 껍질 벗긴 과일",,,
천식식단,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 채소, 과일",,,
콜레라,"당근, 호박, 오이, 시금치, 양송이, 가지, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 돼지고기, 쇠고기, 쌀밥, 계란, 두부, 닭고기,우유,버터,치즈, 시금치, 애호박, 당근, 숙주, 양송이, 가지, 양상치, 바나나, 과일통조림",,"채소, 땅콩, 호두, 잣, 과일, 우유, 두유, 요구르트, 요거트, 우유,돼지고기,쇠고기,닭고기,소주, 맥주, 막걸리, 된장, 고추장, 고춧가루, 겨자",
패혈증,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 계란, 채소, 과일",,"설탕, 삼겹살,갈비, 굴",
"페닐케톤뇨증, PKU","과일, 채소",,"잔멸치,북어, 검정콩, 대두, 치즈, 닭가슴살, 견과류",
폐경기 및 여성의 갱년기,"우유, 치즈, 두부, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 미역, 견과류, 과일",,"버터, 크림",
폐렴,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 요구르트, 과일,채소",,,
프라더 윌리 증후군,"밥, 채소,과일, 미역, 다시마, 파래, 콩,두부",,"초콜릿, 빵, 치킨,삼겹살, 갈비, 소시지,햄, 베이컨",
"프로피온산혈증, 프로피온산증","쌀, 고구마, 감자, 버터, 채소,과일",,"쇠고기, 돼지고기, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,우유,버터,치즈",
협심증,"채소, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부,과일,우유 ",,"갈비, 삼겹살, 장어, 햄,새우, 오징어, 계란노른자,전,김치,통조림류, 국, 찌개",
호모시스틴뇨증,"곡류, 채소, 과일",,"콩,두부, 쇠고기, 돼지고기, 닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치",
화상,"쌀밥,감자, 고구마, 떡,돼지고기,쇠고기,닭고기,꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 조개, 두부, 콩, 달걀, 채소,땅콩, 호두, 잣, 과일, 우유, 두유, 요구르트, 요거트",,"설탕, 물엿, 콜라,사이다, 통조림 과일, 소주, 맥주, 막걸리",
후천성면역결핍증,"돼지고기,쇠고기,닭고기, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 두부, 계란,채소, 과일",,"설탕, 삼겹살,갈비,라면",
간경변 ,"돼지고기,쇠고기,닭고기,꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,콩,두부,달걀,우유,버터,치즈, 꿀, 과일, 채소","단백질, 탄수화물, 지방, 비타민, 무기질",,"염분, 수분, 카페인"
간염 ,"돼지고기,쇠고기,닭고기,꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,달걀,콩,두부,우유,버터,치즈, 밥,빵,떡,감자,면,과일,꿀,설탕,식용유,견과류, 채소, 과일","단백질, 탄수화물, 지방, 비타민, 무기질",,
고지혈증 ,"채소, 과일",섬유소,"소금,코코넛오일, 빵, 과자, 떡, 옥수수, 감자, 고구마, 설탕, 꿀, 초콜릿",포화지방
