dcode,dname,extracted,ingd_code,merged_contents,권장,주의,권장영양소,권장식재료,주의영양소,주의식재료
2017101100078,헤모로이달릴리프플러스크림(수출용),,,,,,,,,
2014022500003,헤모로이달앤드탑피컬애널지직연고(디부카인)(수출용),,,,,,,,,
A11AGGGGA2678,헤모리달정,,,,,,,,,
2009071504236,홍달민진생연질캡슐(수출용),,,,,,,,,
2018101900008,휴미라주40mg,,,,,,,,,
2013092500001,휴미라주40mg바이알,,,,,,,,,
2017062200010,휴미라펜주40mg/0.4mL,,,,,,,,,
2019060400100,휴미라펜주80mg/0.8mL,,,,,,,,,
2019050200159,휴미라프리필드시린지주20mg/0.2mL,,,,,,,,,
2017062200011,휴미라프리필드시린지주40mg/0.4mL,,,,,,,,,
2019022200039,휴미라프리필드시린지주80mg/0.8mL,,,,,,,,,
2020031200036,휴펜달린정1mg,,,,,,,,,
2021102100008,동아제약훼럼멀티비타정,,,,,,,,,
A11AJJJJJ0430,모아훼린캡슐,,,,,,,,,
A11ABBBBB2087,베노훼럼주,,,,,,,,,
A11AOOOOO8399,소아용훼로틴과립,,,,,,,,,
A11AKP08G0135,씨훼밀리정,,,,,,,,,
A11AKP08C0250,푸마훼린연질캡슐,푸마훼린연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
A11A1360A0362,한중훼스터연질캡슐(배농산급탕),,,,,,,,,
2014061000008,훼너에스연질캡슐,,,,,,,,,
A11APPPPP2839,훼너에프연질캡슐,훼너에프연질캡슐,I001473,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
A11APPPPP1051,훼너지캡슐,,,,,,,,,
A11AJJJJJ0225,훼너프액,,,,,,,,,
A11AOOOOO8471,훼니맥스연질캡슐,훼니맥스연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
2020020300011,훼더에스정,,,,,,,,,
A11ADDDDD0106,훼라민큐정,,,,,,,,,
cbli496td8agr,훼러민연질캡슐,훼러민연질캡슐,I001473,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
A11A0300A0566,훼러브액,,,,,,,,,
A11AKP08F0291,훼러비타연질캡슐,훼러비타연질캡슐,I001473,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
A11AOOOOO8119,훼러진플러스캡슐,,,,,,,,,
A11AKP08F0327,훼러큐연질캡슐,훼러큐연질캡슐,I001118,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
A11AKP08G0509,훼럼아이액,,,,,,,,,
A11A0210A0669,훼럼키드액,,,,,,,,,
2019012500157,훼럼포유연질캡슐,,,,,,,,,
A11AKP08G4189,훼렉스주,,,,,,,,,
2009102800005,훼로닥터에프연질캡슐,,,,,,,,,
2009101400004,훼로닥터연질캡슐,,,,,,,,,
2018032200001,훼로드립정(수출용),,,,,,,,,
A11A2140A0307,훼로맥스액(5mL/병),,,,,,,,,
2019102200041,훼로맥스액(5mL/포),,,,,,,,,
A11AOOOOO1887,훼로맥스플러스정,,,,,,,,,
A11AOOOOO8314,훼로모아시럽,,,,,,,,,
A11AOOOOO8121,훼로모아캡슐,,,,,,,,,
2016111100013,훼로바맘스케어정,,,,,,,,,
A11AHHHHH0249,훼로바유서방정,훼로바유서방정,I001118,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
2011032200001,훼로바주,,,,,,,,,
A11AOOOOO8118,훼로바프리미엄캡슐,,,,,,,,,
A11AKP08G4184,훼로빈연질캡슐,훼로빈연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
A11APPPPP2340,훼로세린플러스연질캡슐,훼로세린플러스연질캡슐,I001118,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
2009090700122,훼로스캡슐,,,,,,,,,
A11AKP08G3718,훼로웰주,,,,,,,,,
A11APPPPP2378,훼로케어연질캡슐,훼로케어연질캡슐,I001118,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
2009091800272,훼로콤비연질캡슐,,,,,,,,,
2018020900001,훼로큐캡슐,,,,,,,,,
A11AOOOOO8046,훼로틴과립,,,,,,,,,
2009090200031,훼로프캡슐,,,,,,,,,
2009091800350,훼르맥스에프캡슐,,,,,,,,,
A11AOOOOO8324,훼르친시럽,,,,,,,,,
A11AOOOOO8123,훼르친캡슐,,,,,,,,,
2009091800016,훼리난주(수출용),,,,,,,,,
2009071505959,훼리너프에스시럽,,,,,,,,,
2009092300080,훼리너프에프캡슐,,,,,,,,,
2019020700093,훼리너프지캡슐,,,,,,,,,
A11AOOOOO7678,훼리너프캡슐,,,,,,,,,
A11AKP08E0016,훼리돌캡슐,,,,,,,,,
A11AOOOOO8965,훼리두스에스정,,,,,,,,,
A11ABBBBB2193,훼리딘캡슐,,,,,,,,,
2011120700006,훼리맘큐연질캡슐,,,,,,,,,
2018030900001,훼리큐캡슐,,,,,,,,,
A11ACCCCC0210,훼리탑액(수출용),,,,,,,,,
A11AOOOOO5434,훼리탑에프캡슐,,,,,,,,,
A11ACCCCC0209,훼리탑캡슐,,,,,,,,,
A11AJJJJJ0507,훼리틴콤플렉스액,,,,,,,,,
2017110700005,훼리폴엠캡슐,,,,,,,,,
A11AKP08G0499,훼리폴캡슐,,,,,,,,,
A11ABBBBB2448,훼마톤액,,,,,,,,,
A11AKKKKK0208,훼마톤에이정,,,,,,,,,
A11AJJJJJ0523,훼마틴에이시럽,,,,,,,,,
A11AKKKKK0206,훼마틴캡슐,,,,,,,,,
A11AKP08L0392,훼마틴키드액,,,,,,,,,
A11APPPPP2796,훼마틴플러스캡슐,,,,,,,,,
2011033000009,훼모럼주,,,,,,,,,
2009121500036,훼모룸액(수출용),,,,,,,,,
A11ABBBBB2142,훼모콘캡슐,,,,,,,,,
A11AOOOOO6795,훼모콘플러스액,,,,,,,,,
A11AKP09E0029,훼미그린정,,,,,,,,,
2009071503334,훼미리케어오리지날점안액(수출용),,,,,,,,,
2022010300013,훼민업정,,,,,,,,,
A11AKP08G0504,훼민포웰연질캡슐,훼민포웰연질캡슐,I001473,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
2009090700135,훼바골드캡슐,,,,,,,,,
A11A0740B0011,훼스탈골드정,,,,,,,,,
2021122200006,훼스탈슈퍼자임정,,,,,,,,,
A11A0740B0009,훼스탈플러스정,,,,,,,,,
A11AOOOOO9849,훼이바주(1000I.U),,,,,,,,,
2019102900050,훼이바주(500I.U),,,,,,,,,
2013112800010,네오날린패취0.5mg,,,,,,,,,
2013112800011,네오날린패취1mg,,,,,,,,,
2013112800012,네오날린패취2mg,,,,,,,,,
A11APPPPP0768,노스판패취10μg/h,,,,,,,,,
A11APPPPP0769,노스판패취20μg/h,,,,,,,,,
A11APPPPP0767,노스판패취5μg/h,,,,,,,,,
2010050400011,노테몬패취0.5mg,,,,,,,,,
2010050400012,노테몬패취1mg,,,,,,,,,
2010050400013,노테몬패취2mg,,,,,,,,,
2014072300002,뉴리포에이취알정,,,,,,,,,
2014073100004,뉴시드에이취알정,,,,,,,,,
2015021300011,니코레트인비지패취,,,,,,,,,
A11AKP08G0692,니코맨패취14mg/일,,,,,,,,,
A11AKP08G0694,니코맨패취21mg/일,,,,,,,,,
A11AKP08G0697,니코맨패취7mg/일,,,,,,,,,
A11A6320A0005,니코스탑10패취,,,,,,,,,
A11A6320A0002,니코스탑20패취,,,,,,,,,
A11A6320A0006,니코스탑30패취,,,,,,,,,
2015021300005,니코앤드패취(수출용),,,,,,,,,
2015083100010,니코에이패취,,,,,,,,,
2015021300009,니코프리패취,,,,,,,,,
2019110100035,대웅바이오툴로부테롤패취0.5mg,,,,,,,,,
2019110100034,대웅바이오툴로부테롤패취1mg,,,,,,,,,
2019110100033,대웅바이오툴로부테롤패취2mg,,,,,,,,,
2013110100017,더마부테롤패취2mg,,,,,,,,,
2021012700008,더마크린에취씨로션1%(0.1g/100mL),,,,,,,,,
A11AOOOOO1087,더마크린에취씨로션1%(0.6g/60mL),,,,,,,,,
2021110800004,도네리온패취175mg,,,,,,,,,
2021110800003,도네리온패취87.5mg,,,,,,,,,
2021110800001,도네시브패취175mg,,,,,,,,,
2021110800002,도네시브패취87.5mg,,,,,,,,,
A11AKP08G0495,듀로제식디트랜스패취100μg/h,,,,,,,,,
A11AOOOOO9759,듀로제식디트랜스패취12μg/h,,,,,,,,,
A11AOOOOO6981,듀로제식디트랜스패취25μg/h,,,,,,,,,
A11AOOOOO6983,듀로제식디트랜스패취50μg/h,,,,,,,,,
2013061800006,디누보패취10,,,,,,,,,
2013061800007,디누보패취5,,,,,,,,,
2014030300013,디멘큐어패취10(수출용),,,,,,,,,
2014030300014,디멘큐어패취5(수출용),,,,,,,,,
A11AGGGGA1347,디에취덱스0.15%2호액,디에취덱스,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
A11AGGGGA1348,디에취덱스액0.1%,,,,,,,,,
A11AGGGGA1349,디에취덱스액0.15%1호액,,,,,,,,,
2019032200058,디옥시드에이취알정600mg,,,,,,,,,
A11AJJJJJ0095,락티손에이취씨현탁액1%,,,,,,,,,
A11ADDDDD0070,락티손에이취씨현탁액2.5%,,,,,,,,,
2018120300074,락티케어에취씨로션1%(118g),,,,,,,,,
2018120300073,락티케어에취씨로션1%(60g),,,,,,,,,
2018120300075,락티케어에취씨로션2.5%(60g),,,,,,,,,
2012022200006,락티케어에취씨로션2.5%(60mL),,,,,,,,,
2010043000004,레스날린패취0.5mg,,,,,,,,,
2010043000005,레스날린패취1mg,,,,,,,,,
2010043000006,레스날린패취2mg,,,,,,,,,
2018082800005,리바그론패취10,,,,,,,,,
2018082800004,리바그론패취5,,,,,,,,,
2014032800013,리바그민패취10,,,,,,,,,
2022072900016,리바그민패취15,,,,,,,,,
2014032800012,리바그민패취5,,,,,,,,,
2014032800011,리바덤패취10,,,,,,,,,
2017031400001,리바덤패취15(수출용),,,,,,,,,
2014032800010,리바덤패취5,,,,,,,,,
2014040100027,리바론패취10,,,,,,,,,
2014040100028,리바론패취5,,,,,,,,,
2019012500029,리바마인패취10,,,,,,,,,
2019012500028,리바마인패취5,,,,,,,,,
2014033100005,리바메론패취10,,,,,,,,,
2014033100004,리바메론패취5,,,,,,,,,
2014032700031,리바멘사패취10,,,,,,,,,
2014032700030,리바멘사패취5,,,,,,,,,
2018072600029,리바센패취10,,,,,,,,,
2018072600028,리바센패취5,,,,,,,,,
2018082800006,리바스티렌패취10,,,,,,,,,
2018082800007,리바스티렌패취5,,,,,,,,,
2014110300024,리바스패취10,,,,,,,,,
2014110300023,리바스패취5,,,,,,,,,
2019022200075,리바페트패취10,,,,,,,,,
2019022200076,리바페트패취5,,,,,,,,,
2019012500032,리바피론패취10,,,,,,,,,
2019012500033,리바피론패취5,,,,,,,,,
2014090200026,리셀톤패취10,,,,,,,,,
2022060700005,리셀톤패취15,,,,,,,,,
2014090200027,리셀톤패취5,,,,,,,,,
2019012500031,리스타민패취10,,,,,,,,,
2019012500030,리스타민패취5,,,,,,,,,
A11AOOOOO9406,리포에이에이취알정600mg,,,,,,,,,
A11APPPPP1231,리포익에이취알정,,,,,,,,,
2014092400004,리포티민에이취알정600mg,,,,,,,,,
A11ABBBBB1169,마도파에취비에스캡슐125,,,,,,,,,
2011070400005,마트리펜패취100μg/h,,,,,,,,,
2011070400008,마트리펜패취12μg/h,,,,,,,,,
2011070400009,마트리펜패취25μg/h,,,,,,,,,
2011070400006,마트리펜패취50μg/h,,,,,,,,,
2011070400007,마트리펜패취75μg/h,,,,,,,,,
2013013000030,명문펜타닐패취12μg/h,,,,,,,,,
2014072800026,명문펜타닐패취12μg/h(수출용),,,,,,,,,
2013013000029,명문펜타닐패취25μg/h,,,,,,,,,
2014072800022,명문펜타닐패취25μg/h(수출용),,,,,,,,,
2013013000034,명문펜타닐패취50μg/h,,,,,,,,,
2014072800023,명문펜타닐패취50μg/h(수출용),,,,,,,,,
2014032800015,몬스티패취10,,,,,,,,,
2014032800014,몬스티패취5,,,,,,,,,
A11AOOOOO5942,무르페패취,,,,,,,,,
2019091900025,보령툴로부테롤패취0.5mg,,,,,,,,,
2019091900023,보령툴로부테롤패취1mg,,,,,,,,,
2019091900024,보령툴로부테롤패취2mg,,,,,,,,,
2014040100025,부광리바스티그민패취10,,,,,,,,,
2014040100026,부광리바스티그민패취5,,,,,,,,,
2016050900012,부테날린패취0.5mg,,,,,,,,,
2016050900014,부테날린패취1mg,,,,,,,,,
2016050900013,부테날린패취2mg,,,,,,,,,
2013032500025,부테롤패취0.5mg,,,,,,,,,
2013032500024,부테롤패취1mg,,,,,,,,,
2013032500023,부테롤패취2mg,,,,,,,,,
2018050900004,부프레인패취35μg/h,,,,,,,,,
2018050900003,부프레인패취52.5μg/h,,,,,,,,,
2018050900005,부프레인패취70μg/h,,,,,,,,,
2010050400014,브레톨패취0.5mg,,,,,,,,,
2010050400015,브레톨패취1mg,,,,,,,,,
2010050400016,브레톨패취2mg,,,,,,,,,
2010050400026,브리테롤패취1mg·0.5mg,,,,,,,,,
2016080200008,브리테롤패취2mg(수출용),,,,,,,,,
2020032000026,브리테린패취0.5mg,,,,,,,,,
2020032000027,브리테린패취1mg,,,,,,,,,
2020032000025,브리테린패취2mg,,,,,,,,,
2012101600018,비쿨아이티씨에이취릴리프패취(수출용),,,,,,,,,
2009071505286,산쿠소패취,,,,,,,,,
2019091900031,삼성툴로부테롤패취0.5mg,,,,,,,,,
2019091900033,삼성툴로부테롤패취1mg,,,,,,,,,
2019091900032,삼성툴로부테롤패취2mg,,,,,,,,,
A11AOOOOO9658,삼아치옥트산에이취알정,,,,,,,,,
2011020100003,삼양툴로부테롤패취0.5mg(수출용),,,,,,,,,
2011020100004,삼양툴로부테롤패취1mg(수출용),,,,,,,,,
2011020100005,삼양툴로부테롤패취2mg(수출용),,,,,,,,,
2020030300023,삼양홀딩스리바스티그민패취10(수출용),,,,,,,,,
2020030300024,삼양홀딩스리바스티그민패취5(수출용),,,,,,,,,
2020081900005,삼양홀딩스펜타닐패취100μg/h(수출용),,,,,,,,,
2020092200006,삼양홀딩스펜타닐패취100μg/h(수출용),,,,,,,,,
2020081900006,삼양홀딩스펜타닐패취12μg/h(수출용),,,,,,,,,
2020092200003,삼양홀딩스펜타닐패취12μg/h(수출용),,,,,,,,,
2020092200004,삼양홀딩스펜타닐패취25μg/h(수출용),,,,,,,,,
2020081900003,삼양홀딩스펜타닐패취25μg/h(수출용),,,,,,,,,
2020081900004,삼양홀딩스펜타닐패취50μg/h(수출용),,,,,,,,,
2020092200005,삼양홀딩스펜타닐패취50μg/h(수출용),,,,,,,,,
2010010600003,세키날린패취0.5mg,,,,,,,,,
2010010600013,세키날린패취1mg,,,,,,,,,
2010010600002,세키날린패취2mg,,,,,,,,,
A11A0150A0763,셀비온에취엠피에이오주,,,,,,,,,
2014033100007,스타그민패취10,,,,,,,,,
2014033100006,스타그민패취5,,,,,,,,,
2014032700002,스텔론패취10,,,,,,,,,
2014032700001,스텔론패취5,,,,,,,,,
2014032700007,스티그마패취10,,,,,,,,,
2014032700008,스티그마패취5,,,,,,,,,
2016072700018,신신리바스티그민패취10,,,,,,,,,
2023032700001,신신리바스티그민패취10(수출용),,,,,,,,,
2018041200009,신신리바스티그민패취15,,,,,,,,,
2017120100010,신신리바스티그민패취5,,,,,,,,,
2023032700003,신신리바스티그민패취5(수출용),,,,,,,,,
2021121600008,신신멜라토닌패취(수출용),,,,,,,,,
2023073100001,신신옥시부티닌패취36mg(수출용),,,,,,,,,
2011012400002,신신파스겔패취(수출용),,,,,,,,,
2009071503164,신신페인릴리프패취(수출용),,,,,,,,,
2015040200002,신일펜타닐패취100ug/h(수출용),,,,,,,,,
2013032500041,아스날린패취0.5mg,,,,,,,,,
2013032500042,아스날린패취1mg,,,,,,,,,
2013032500046,아스날린패취2mg,,,,,,,,,
2015070100033,아스톨패취0.5mg,,,,,,,,,
2015070100034,아스톨패취1mg,,,,,,,,,
2015070100035,아스톨패취2mg,,,,,,,,,
2021060400002,아이큐어도네페질패취25(수출용),,,,,,,,,
2021060400001,아이큐어도네페질패취50(수출용),,,,,,,,,
2013052100002,안토옥시에이취알정,,,,,,,,,
A11A6320A0007,앤지덤패취0.2mg/시간,,,,,,,,,
A11A6320A0008,앤지덤패취0.4mg/시간(수출용),,,,,,,,,
2013082900001,에쓰테롤패취0.5mg,,,,,,,,,
2013082900002,에쓰테롤패취1mg,,,,,,,,,
2013082900003,에쓰테롤패취2mg,,,,,,,,,
A11AGGGGA1356,에이에취디비액,에이에취디비액,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
A11AMMMMM0673,에이에취디액1호(A액)(10L),,,,,,,,,
A11AOOOOO1387,에이에취디액1호(B액)(10L),,,,,,,,,
A11AGGGGA1360,에이에취디액1호(B액)(12.6L),,,,,,,,,
2016080100083,에취디졸비씨에이액(10L),,,,,,,,,
2016050900010,에취디졸비씨에이액(5.5L),,,,,,,,,
2016080100084,에취디졸비씨지에이액(10L),,,,,,,,,
2016052400002,에취디졸비씨지에이액(5L),,,,,,,,,
2014120300002,에취디졸비액,,,,,,,,,
A11AMMMMM0389,에취라제주사1500IU,,,,,,,,,
2022110700002,에취스에프연질캡슐,,,,,,,,,
2014082600003,에취투비정200mg,,,,,,,,,
A11A0210B0022,에취투정,,,,,,,,,
A11A0210B0016,에취투정400mg(수출용),,,,,,,,,
A11AKKKKK0219,에취투주,,,,,,,,,
A11AKP08F0800,엑셀론패취10,,,,,,,,,
2013061200006,엑셀론패취15,,,,,,,,,
A11AKP08F0803,엑셀론패취5,,,,,,,,,
2018072600026,엑셀리바패취10,,,,,,,,,
2018072600027,엑셀리바패취15,,,,,,,,,
2018072600025,엑셀리바패취5,,,,,,,,,
2015021300007,엑소덤패취,,,,,,,,,
A11AHHHHH0253,엠브이에취주(병),,,,,,,,,
A11APPPPP1232,옥타론에이취알정600mg,,,,,,,,,
2014040100035,원드론패취10,,,,,,,,,
2014031100008,원드론패취15,,,,,,,,,
2014040100036,원드론패취5,,,,,,,,,
2015020200012,유니셀론패취10,,,,,,,,,
2015020200011,유니셀론패취5,,,,,,,,,
2020032000044,유니온툴로부테롤패취0.5mg,,,,,,,,,
2020032000045,유니온툴로부테롤패취1mg,,,,,,,,,
2020032000046,유니온툴로부테롤패취2mg,,,,,,,,,
2019101000010,유마프론패취10,,,,,,,,,
2019101000011,유마프론패취5,,,,,,,,,
A11AMMMMM0878,이지에이취디현탁용분말,,,,,,,,,
2009071506002,재우스오라쿠고에이취플라스타,,,,,,,,,
A11A1240A0068,취어스액(삼두해정탕),,,,,,,,,
A11A1240B0001,취어스환,,,,,,,,,
2015091100002,치오티드에이취알정600mg,,,,,,,,,
2014102400009,치옥타드에이취알정600mg,,,,,,,,,
A11AKP08G4138,치옥타민에이취알정600mg,,,,,,,,,
A11AOOOOO0727,치옥타시드에이취알정200mg,,,,,,,,,
A11AMMMMM1077,치옥타시드에이취알정600mg,,,,,,,,,
2014120900004,치옥트린에이취알정600mg,,,,,,,,,
A11AOOOOO9810,치옥티아에이취알정600mg,,,,,,,,,
2011042600006,코부테롤패취0.5mg,,,,,,,,,
2011042600007,코부테롤패취1mg,,,,,,,,,
2011042600008,코부테롤패취2mg,,,,,,,,,
2014080100038,코프날린패취0.5mg,,,,,,,,,
2014080100039,코프날린패취1mg,,,,,,,,,
2014080100040,코프날린패취2mg,,,,,,,,,
A11A3180A0092,키미테패취,,,,,,,,,
2013032500028,키즈날린패취0.5mg,,,,,,,,,
2013032500027,키즈날린패취1mg,,,,,,,,,
2013032500026,키즈날린패취2mg,,,,,,,,,
2010050400007,투브롤패취0.5mg,,,,,,,,,
2010050400008,투브롤패취1mg,,,,,,,,,
2010050400009,투브롤패취2mg,,,,,,,,,
2014100100029,투윈에취시럽(20mL),,,,,,,,,
2019110600040,투윈에취시럽(500mL),,,,,,,,,
2011120100007,툴로스트패취0.5mg,,,,,,,,,
2011120100006,툴로스트패취1mg,,,,,,,,,
2011120100005,툴로스트패취2mg,,,,,,,,,
A11A1890A0154,트라스트패취,,,,,,,,,
2017022300006,트랜스텍패취35μg/h,,,,,,,,,
2017021500004,트랜스텍패취52.5μg/h,,,,,,,,,
2017021500005,트랜스텍패취70μg/h,,,,,,,,,
2015022400008,티오넥스에이취알정600mg,,,,,,,,,
A11AOOOOO9816,티오시드에이취알정600mg,,,,,,,,,
2015100500004,펜타덤패취100μg/h,,,,,,,,,
2021011800006,펜타덤패취100μg/h(수출용),,,,,,,,,
2013022700053,펜타덤패취12μg/h,,,,,,,,,
2021011800003,펜타덤패취12μg/h(수출용),,,,,,,,,
2013022700052,펜타덤패취25μg/h,,,,,,,,,
2021011800004,펜타덤패취25μg/h(수출용),,,,,,,,,
2013022700054,펜타덤패취50μg/h,,,,,,,,,
2021011800005,펜타덤패취50μg/h(수출용),,,,,,,,,
2012022400001,펜타듀르패취100μg/h,,,,,,,,,
2012022400005,펜타듀르패취12ug/h,,,,,,,,,
2012022400004,펜타듀르패취25μg/h,,,,,,,,,
2012022400003,펜타듀르패취50μg/h,,,,,,,,,
2012022400002,펜타듀르패취75μg/h,,,,,,,,,
2015021700007,펜타릭스패취100μg/h,,,,,,,,,
2015021700004,펜타릭스패취12μg/h,,,,,,,,,
2013010200017,펜타릭스패취25μg/h,,,,,,,,,
2015060300200,펜타릭스패취37.5μg/h,,,,,,,,,
2015021700005,펜타릭스패취50μg/h,,,,,,,,,
2012103000005,펜타베라패취100μg/h,,,,,,,,,
2012103000002,펜타베라패취12μg/h,,,,,,,,,
2012103000001,펜타베라패취25μg/h,,,,,,,,,
2012103000003,펜타베라패취50μg/h,,,,,,,,,
2012103000004,펜타베라패취75μg/h,,,,,,,,,
A11AJJJJJ0566,펜타스패취25μg/h,,,,,,,,,
A11AJJJJJ0567,펜타스패취50μg/h,,,,,,,,,
2015082700001,호쿠나패취0.5mg,,,,,,,,,
2015082700002,호쿠나패취1mg,,,,,,,,,
2015082700003,호쿠나패취2mg,,,,,,,,,
A11AOOOOO0704,호쿠날린패취0.5mg,,,,,,,,,
A11APPPPP2657,호쿠날린패취1mg,,,,,,,,,
A11APPPPP2658,호쿠날린패취2mg,,,,,,,,,
2013011800004,호쿠라바패취0.5mg,,,,,,,,,
2013011800005,호쿠라바패취1mg,,,,,,,,,
2013011800003,호쿠라바패취2mg,,,,,,,,,
2019122700014,호쿠롤패취0.5mg,,,,,,,,,
2019122700012,호쿠롤패취1mg,,,,,,,,,
2019122700013,호쿠롤패취2mg,,,,,,,,,
2010043000018,호쿠테롤패취0.5mg,,,,,,,,,
2010043000019,호쿠테롤패취1mg,,,,,,,,,
2010043000003,호쿠테롤패취2mg,,,,,,,,,
A11APPPPP0359,후리아민에이취비씨주,,,,,,,,,
2014032800009,휴온스리바스티그민패취10,,,,,,,,,
2014032800008,휴온스리바스티그민패취5,,,,,,,,,
A11AOOOOO2365,5%포도당가엔에이케이주2(1000mL/백),,,,,,,,,
2016090100032,5%포도당가엔에이케이주2(500mL/백),,,,,,,,,
