Unnamed: 0,dcode,dname,extracted,ingd_code,merged_contents,권장,주의,권장영양소,권장식재료,주의영양소,주의식재료
408,2.02E+12,노루모에이스산,노루모에이스산,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
409,A11ABBBBB1024,노루모에이정(수출용),노루모에이정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
410,2.01E+12,노루모에프산,노루모에프산,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
411,2.01E+12,노모어연질캡슐(수출용),노모어연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
476,2.02E+12,뉴믹스탈삼중정,뉴믹스탈삼중정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
484,2.02E+12,뉴토메가연질캡슐5/1000mg,뉴토메가연질캡슐,I004369,자몽주스 주의,,자몽 ,,,,자몽
510,2.02E+12,다포가듀오서방정10/1000mg,다포가듀오서방정,I002178,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의 비타민 B ",비타민B ,"탄수화물, 아스파라거스, 천연 이뇨제 ",비타민B,,탄수화물,"아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
514,A11APPPPP2443,닥터큐텐연질캡슐,닥터큐텐연질캡슐,I005713,지방 ,지방 ,,지방,,,
538,2.02E+12,더블자임정,더블자임정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
539,2.02E+12,더판디탈정,더판디탈정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
568,A11A0150B0001,동아가스터정20mg,동아가스터정,I001401,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
569,A11A0150A0470,동아가스터주20mg(바이알),동아가스터주,I001401,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
575,2.02E+12,듀오그린정,듀오그린정,I001081,섬유질 ,섬유질 ,,섬유질,,,
576,2.02E+12,듀오조인정,듀오조인정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
582,2.02E+12,땡큐장용연질캡슐,땡큐장용연질캡슐,I001081,섬유질 ,섬유질 ,,섬유질,,,
584,2.02E+12,라니탄큐정,라니탄큐정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
590,2.02E+12,라미가드정,라미가드정,I005341,카페인 주의 자몽주스 주의,,"카페인,자몽 ",,,카페인,자몽
601,A11AOOOOO0510,란가톤정(수출용),란가톤정,I005114,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B  칼슘 ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
602,2.01E+12,란가톤캡슐15mg,란가톤캡슐,I005114,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B  칼슘 ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
604,heuc5nhe6bk47,래피콜에이캡슐,래피콜에이캡슐,I002817,비타민 C 주의,,비타민C ,,,비타민C,
624,2.01E+12,레논비타연질캡슐,레논비타연질캡슐,I005713,지방 ,지방 ,,지방,,,
642,2.02E+12,레이셀코정,레이셀코정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
649,2.02E+12,레일라디에스정,레일라디에스정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
653,2.02E+12,레콕스정,레콕스정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
661,2.02E+12,렉스듀오정,렉스듀오정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
663,2.01E+12,렉시타민연질캡슐,렉시타민연질캡슐,I005713,지방 ,지방 ,,지방,,,
664,2.01E+12,로가렉신연질캡슐,로가렉신연질캡슐,I005713,지방 ,지방 ,,지방,,,
665,lxl2wjewttxla,로가큐텐연질캡슐,로가큐텐연질캡슐,I005713,지방 ,지방 ,,지방,,,
778,2.02E+12,매가콤비타정,매가콤비타정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
781,2.02E+12,맥스타민메가맥스정,맥스타민메가맥스정,I005713,지방 ,지방 ,,지방,,,
792,2.02E+12,메가글리메트정1/250mg,메가글리메트정,I001710,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의",,"탄수화물,녹차, 아스파라거스, 천연 이뇨제 ",,,탄수화물,"녹차, 아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
792,2.02E+12,메가글리메트정1/250mg,메가글리메트정,I002178,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의 비타민 B ",비타민B ,"탄수화물, 아스파라거스, 천연 이뇨제 ",비타민B,,탄수화물,"아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
794,2.02E+12,메가글리정2mg,메가글리정,I001710,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의",,"탄수화물,녹차, 아스파라거스, 천연 이뇨제 ",,,탄수화물,"녹차, 아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
804,2.02E+12,메가레보사신정100mg,메가레보사신정,I001852,카페인 주의,,카페인 ,,,카페인,
812,2.02E+12,메가로사탄클정,메가로사탄클정,I004791,칼륨  칼슘 주의,칼륨 ,칼슘 ,칼륨,,칼슘,
820,2.02E+12,메가록소펜정,메가록소펜정,I001934,"카페인 주의 마늘, 생강은 과량 섭취에 주의",,"카페인,마늘, 생강",,,카페인,"마늘, 생강"
822,2.02E+12,메가록시캄캡슐15mg,메가록시캄캡슐,I002100,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
824,A11AMMMMM1704,메가록신정250mg,메가록신정,I000494,카페인 주의,,카페인 ,,,카페인,
846,2.02E+12,메가브이벤정,메가브이벤정,I005713,지방 ,지방 ,,지방,,,
850,A11AKP08G0286,메가비타연질캡슐,메가비타연질캡슐,I001118,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
851,2.02E+12,메가비텐액티브정,메가비텐액티브정,I005713,지방 ,지방 ,,지방,,,
853,2.02E+12,메가비텐프리미엄정,메가비텐프리미엄정,I005713,지방 ,지방 ,,지방,,,
870,2.01E+12,메가셋세미정,메가셋세미정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
871,A11AKP07L0497,메가셋정,메가셋정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
877,A11AKP08G3172,메가스펜정,메가스펜정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
880,2.02E+12,메가시플록정,메가시플록정,I000494,카페인 주의,,카페인 ,,,카페인,
881,2.02E+12,메가실로졸정50mg,메가실로졸정,I004694,고지방식 섭취 주의 자몽주스 주의,,"지방, 자몽 ",,,지방,자몽
882,2.02E+12,메가심바에정10/10mg,메가심바에정,I003721,자몽주스 주의,,자몽 ,,,,자몽
884,2.02E+12,메가심바틴정,메가심바틴정,I003721,자몽주스 주의,,자몽 ,,,,자몽
887,2.02E+12,메가아세돌서방정,메가아세돌서방정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
888,2.02E+12,메가아세돌세미서방정,메가아세돌세미서방정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
889,2.02E+12,메가아세돌세미정,메가아세돌세미정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
890,2.02E+12,메가아세돌정,메가아세돌정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
891,2.02E+12,메가아토바정10mg,메가아토바정,I004369,자몽주스 주의,,자몽 ,,,,자몽
893,2.02E+12,메가알렌드정,메가알렌드정,I004075,칼슘/비타민 D ,"칼슘,비타민D ",,"칼슘,비타민D",,,
897,2.02E+12,메가에소메정20mg,메가에소메정,I012707,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B  칼슘 ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
905,2.02E+12,메가오메졸캡슐20mg,메가오메졸캡슐,I002684,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B  칼슘 ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
910,2.01E+12,메가웰정,메가웰정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
911,2.01E+12,메가웰큐정,메가웰큐정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
913,2.02E+12,메가이반론주,메가이반론주,I003795,칼슘/비타민 D ,"칼슘,비타민D ",,"칼슘,비타민D",,,
916,2.02E+12,메가치올플러스액,메가치올플러스액,I002817,비타민 C 주의,,비타민C ,,,비타민C,
925,pwtxqt8h0h1s4,메가코정,메가코정,I003385,카페인 주의,,카페인 ,,,카페인,
925,pwtxqt8h0h1s4,메가코정,메가코정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
926,A11AJJJJJ0700,메가코판정,메가코판정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
927,2.02E+12,메가콕시브캡슐100mg,메가콕시브캡슐,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
943,2.02E+12,메가클로피정75mg,메가클로피정,I000566,"마늘, 생강, 인삼, 은행엽 섭취 주의 비타민A ,E는 주의",,"마늘, 생강, 인삼, 비타민A ,비타민E ",,,"비타민A, 비타민E","마늘, 생강, 인삼"
945,nyyjumf4azdcw,메가타민정,메가타민정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
946,2.01E+12,메가터빈정,메가터빈정,I005341,카페인 주의 자몽주스 주의,,"카페인,자몽 ",,,카페인,자몽
952,2.02E+12,메가텔미클정40/12.5mg,메가텔미클정,I004791,칼륨  칼슘 주의,칼륨 ,칼슘 ,칼륨,,칼슘,
957,2.02E+12,메가트라정,메가트라정,I005051,자몽주스 주의,,자몽 ,,,,자몽
958,2.02E+12,메가트라캡슐,메가트라캡슐,I005051,자몽주스 주의,,자몽 ,,,,자몽
968,2.02E+12,메가파모정20mg,메가파모정,I001401,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의 비타민 B ",비타민B ,"카페인,마늘, 양파",비타민B,,카페인,"마늘, 양파"
969,A11AKP08C0018,메가파워정,메가파워정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
983,A11AOOOOO8623,메가폴민서방정500mg,메가폴민서방정,I002178,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의 비타민 B ",비타민B ,"탄수화물, 아스파라거스, 천연 이뇨제 ",비타민B,,탄수화물,"아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
984,A11AOOOOO5662,메가폴민정500mg,메가폴민정,I002178,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의 비타민 B ",비타민B ,"탄수화물, 아스파라거스, 천연 이뇨제 ",비타민B,,탄수화물,"아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
993,2.02E+12,메가피오정15mg,메가피오정,I003047,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의",,"탄수화물,녹차, 아스파라거스, 천연 이뇨제 ",,,탄수화물,"녹차, 아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
1002,2.02E+12,메이센정,메이센정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1006,2.02E+12,모가프텐트로키,모가프텐트로키,I001572,"카페인 주의 마늘, 생강은 과량 섭취에 주의",,"카페인,마늘, 생강",,,카페인,"마늘, 생강"
1007,bk7or2mxnmjp1,모두펜정,모두펜정,I002817,비타민 C 주의,,비타민C ,,,비타민C,
1013,2.02E+12,미가펜에스연질캡슐,미가펜에스연질캡슐,I002472,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
1014,2.02E+12,미가펜이브연질캡슐,미가펜이브연질캡슐,I004865,"카페인 주의 마늘, 생강은 과량 섭취에 주의",,"카페인,마늘, 생강",,,카페인,"마늘, 생강"
1015,2.02E+12,미가펜후레쉬연질캡슐,미가펜후레쉬연질캡슐,I004865,"카페인 주의 마늘, 생강은 과량 섭취에 주의",,"카페인,마늘, 생강",,,카페인,"마늘, 생강"
1031,A11A0860A0191,바스칼캡슐,바스칼캡슐,I002817,비타민 C 주의,,비타민C ,,,비타민C,
1035,A11AKP08L0333,바이타큐연질캡슐,바이타큐연질캡슐,I001118,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1036,A11AKP08G3884,바이탈진생큐정,바이탈진생큐정,I005713,지방 ,지방 ,,지방,,,
1037,2.01E+12,바이탈플러스연질캡슐,바이탈플러스연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1038,2.02E+12,배가나정,배가나정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
1040,2.01E+12,백사민연질캡슐(수출용),백사민연질캡슐,I001118,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1044,2.02E+12,베나치오메가자임정,베나치오메가자임정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
1053,2.02E+12,베아콕시브플러스정,베아콕시브플러스정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
1056,2.02E+12,베타셀민연질캡슐,베타셀민연질캡슐,I005713,지방 ,지방 ,,지방,,,
1076,2.02E+12,보위황정,보위황정,I003757,"카페인 주의 마늘, 양파 등 자극성이 강한 식품은 섭취에 주의",,"카페인,마늘, 양파",,,카페인,"마늘, 양파"
1078,2.01E+12,본가드정150mg,본가드정,I003795,칼슘/비타민 D ,"칼슘,비타민D ",,"칼슘,비타민D",,,
1081,2.01E+12,본베가정150mg,본베가정,I003795,칼슘/비타민 D ,"칼슘,비타민D ",,"칼슘,비타민D",,,
1084,2.02E+12,본에콕스정,본에콕스정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
1085,2.01E+12,본엔비연질캡슐,본엔비연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1086,2.01E+12,본카바연질캡슐,본카바연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1087,vom1sf132j1az,본칼디연질캡슐,본칼디연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1101,nl28mpwkla0yf,브이텐연질캡슐,브이텐연질캡슐,I005713,지방 ,지방 ,,지방,,,
1102,A11AKP08B0099,블루큐텐연질캡슐,블루큐텐연질캡슐,I005713,지방 ,지방 ,,지방,,,
1112,2.01E+12,비센큐정,비센큐정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1119,2.02E+12,비카린엠장용정,비카린엠장용정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1122,2.01E+12,비코실린정,비코실린정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1123,2.02E+12,비코엑스장용정,비코엑스장용정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1124,2.02E+12,비코윈정,비코윈정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1125,2.02E+12,비크린정,비크린정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1126,2.01E+12,비타가드정,비타가드정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1127,2.01E+12,비타메가정,비타메가정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1129,2.01E+12,비타진연질캡슐(수출용),비타진연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1130,A11AKP08K0173,비타텐골드연질캡슐,비타텐골드연질캡슐,I005713,지방 ,지방 ,,지방,,,
1131,A11APPPPP2362,비타텐연질캡슐,비타텐연질캡슐,I005713,지방 ,지방 ,,지방,,,
1132,A11AKP08B0180,비타헬스연질캡슐,비타헬스연질캡슐,I001118,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1134,2.02E+12,빌가드엠정50/500mg,빌가드엠정,I002178,"고탄수화물 식품 섭취 주의 녹차, 아스파라거스 추출물, 민들레 등 천연 이뇨제 주의 비타민 B ",비타민B ,"탄수화물, 아스파라거스, 천연 이뇨제 ",비타민B,,탄수화물,"아스파라거스, 토마토, 수박, 오이, 비트, 당근, 포도, 양상추, 가지, 셀러리, 오트밀, 파슬리"
1136,A11AKP08G0346,사노칼에이정,사노칼에이정,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1149,2.01E+12,삼타민에프연질캡슐(수출용),삼타민에프연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1150,2.01E+12,삼타민지연질캡슐(수출용),삼타민지연질캡슐,I001471,비타민 C  육류/어류/가금류 ,"비타민C, 육류/어류/가금류 ",,비타민C,"돼지고기, 고등어, 닭",,
1151,A11AKKKKK0282,생장환에스정,생장환에스정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1162,2.02E+12,세노비아에프정,세노비아에프정,I001081,섬유질 ,섬유질 ,,섬유질,,,
1165,2.02E+12,세레듀오정,세레듀오정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
1176,A11APPPPP2416,셀라텐연질캡슐,셀라텐연질캡슐,I005713,지방 ,지방 ,,지방,,,
1180,2.02E+12,셀레브론정,셀레브론정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
1181,2.02E+12,셀레이나정,셀레이나정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
1183,2.02E+12,셀렉카듀오정,셀렉카듀오정,I005957,"카페인 주의 마늘, 생강, 인삼, 은행엽 섭취 주의",,"카페인, 마늘, 생강, 인삼   ",,,카페인,"마늘, 생강, 인삼"
